"51","Bread stick, plain (19cm X 2cm)","1","10","41","172","1","7","0","0.3","1","0.1","0","2","0.4","66","12","3","12","0.1","0.06","0.8","25"
"52","Bread stuffing, dry mix, prepared","125mL","106","188","786","3","23","2","3.1","9","1.8","0","34","1.2","574","78","13","44","0.1","0.11","2.3","56"
"53","Croutons, plain","60mL","8","31","129","1","6",,"0.4","1","0.1","0","6","0.3","53","9","2","9","0","0.02","0.6","16"
"54","Dumpling","1 dumpling","35","69","289","1","8","0","0.3","4","1.0","1","23","0.4","138","23","3","22","0.1","0.06","0.8","19"
"55","Matzo, plain","1","28","112","468","3","24","0","0.9","0","0.1","0","4","0.9","1","32","7","25","0.1","0.08","1.7","5"
"56","Taco shell, baked (13cm diam)","1 shell","13","61","254","1","8","0","1.0","3","0.4","0","21","0.3","48","23","14","32","0","0.01","0.3","28"
"57","Tortilla, corn (15cm diam)","1","19","41","173","1","8","0","1.2","1","0.1","0","15","0.2","9","35","14","60","0","0.01","0.4","1"
"58","Tortilla, wheat (20cm diam)","1","49","159","666","4","27",,"1.6","3","0.9","0","19","1.6","234","64","13","61","0.3","0.14","2.6","98"
"60","French toast, frozen, ready to heat, heated","1 slice","59","126","526","4","19",,"0.6","4","0.9","48","63","1.3","292","79","10","82","0.2","0.22","2.5","42"
"65","French toast, homemade","1 slice","65","149","623","5","16",,"0.7","7","1.8","75","65","1.1","311","87","11","76","0.1","0.21","2.1","37"
"66","Pancake, buckwheat, prepared from mix (13cm diam)","1","40","73","305","3","10","2","1.1","3","0.6","20","89","0.7","191","80","27","143","0.1","0.09","1.2","9"
"67","Pancake, homemade with butter and syrup (13cm diam)","1","50","112","468","3","20","2","0.8","3","1.0","11","85","0.5","211","78","9","118","0.1","0.11","1.1","23"
"68","Pancake, plain, from complete mix (13cm diam)","1","40","64","266","1","11",,"0.4","2","0.2","3","36","0.4","180","50","6","96","0.1","0.06","0.8","15"
"69","Pancake, plain, frozen, ready-to-heat (13cm diam), heated","1","41","94","393","2","18","4","0.7","1","0.3","4","25","1.4","209","30","6","153","0.2","0.19","2.1","27"
"70","Pancake, plain, homemade (13cm diam)","1","38","86","361","2","11",,"0.5","4","0.8","22","83","0.7","167","50","6","60","0.1","0.11","1.1","21"
"71","Potato pancake, homemade (8cm diam)","1","37","112","467","2","13","1","1.0","6","0.6","23","12","0.7","191","277","16","46","0.1","0.06","1.4","15"
"72","Waffl e, homemade","1","37","103","432","3","14","2","0.5","4","0.7","33","44","0.9","146","58","7","53","0.1","0.15","1.7","37"
"73","Waffl e, plain, frozen, ready-to-heat, heated","1","33","87","364","2","13","2","0.8","3","0.5","8","77","1.5","260","42","7","139","0.1","0.16","1.9","22"
"75","Barley, pearled, cooked","125mL","83","102","426","2","23","0","2.0","0","0.1","0","9","1.1","2","77","18","45","0.1","0.05","2.2","13"
"76","Bulgur, cooked","125mL","96","80","334","3","18","0","2.7","0","0","0","10","0.9","5","65","31","38","0.1","0.03","1.7","17"
"77","Couscous, cooked","125mL","83","93","388","3","19","0","0.7","0","0","0","7","0.3","4","48","7","18","0.1","0.02","1.5","12"
"78","Quinoa, cooked","125mL","73","70","293","2","13",,"1.3","1","0.1","0","11","1.7","4","138","39","77","0","0.07","1.0","9"
"79","Macaroni, cooked","250mL","148","209","873","7","42","1","1.8","1","0.1","0","10","2.1","1","46","27","80","0.3","0.14","4.0","184"
"80","Noodles, Chinese, chow mein","60mL","11","60","252","1","7","0","0.4","4","0.5","0","2","0.5","50","14","6","18","0.1","0.05","0.9","16"
"81","Noodles, egg, cooked","250mL","169","225","940","8","42","1","1.9","2","0.5","56","20","2.7","12","47","32","117","0.3","0.14","4.3","176"
"82","Pasta, fresh-refrigerated, cooked","250mL","169","220","920","9","40",,"3.7","3","0.7","69","17","2.0","140","36","24","88","0.3","0.29","4.0","101"
"83","Pasta, fresh-refrigerated, spinach, cooked","250mL","169","223","933","9","41","1","2.2","3","0.6","56","32","1.8","20","63","41","96","0.4","0.21","4.4","159"
"84","Ramen noodles, chicken fl avour, dry","1 package","85","371","1554","9","54","1","2.0","13","6.0",,"23","3.3","1760","147","19","100","0.5","0.21","3.8","150"
"85","Rice noodles, cooked","250mL","186","203","848","2","46",,"1.9","0","0","0","7","0.3","35","7","6","37","0","0.01","0.5","6"
"86","Rice, brown, long-grain, cooked","125mL","103","115","479","3","24","0","1.5","1","0.2","0","10","0.4","5","44","44","86","0.1","0.03","2.1","4"
"87","Rice, white, long-grain, cooked","125mL","83","109","454","2","24","0","0.4","0","0.1","0","8","0.2","1","29","10","36","0","0.01","0.8","3"
"88","Rice, white, long-grain, instant, prepared","125mL","87","85","357","2","19","0","0.5","0","0","0","7","0.2","3","3","4","12","0","0.04","0.9","7"
"89","Rice, white, long-grain, parboiled, cooked","125mL","92","105","441","2","23","0","0.4","0","0.1","0","18","0.2","3","34","11","39","0","0.02","1.7","4"
"90","Rice, wild, cooked","125mL","87","88","366","3","18","1","1.6","0","0","0","3","0.5","3","88","28","71","0","0.08","1.8","23"
"95","Soba noodles, cooked","250mL","120","119","499","6","26",,,"0","0","0","5","0.6","72","42","11","30","0.1","0.03","2.1","8"
"96","Spaghetti, cooked","250mL","148","209","873","7","42","1","2.5","1","0.1","0","10","2.1","1","46","27","80","0.3","0.14","4.0","184"
"97","Spaghetti, whole wheat, cooked","250mL","148","183","768","8","39","1","4.8","1","0.1","0","22","1.6","4","65","44","132","0.2","0.07","2.7","7"
"100","Cream of wheat, regular","175mL","186","46","195","2","9","0","0.7","0","0","0","2","1.6","0","15","2","17","0","0.01","0.4",
"101","Oat bran, cooked","175mL","179","73","306","3","12","0","3.4","1","0.3","0","17","1.3","1","120",,"127","0.2","0.06","0.9","9"
"102","Oatmeal, instant, apple-cinnamon","1 packet","186","141","592","3","29","12","2.8","2","0.3","0","21","5.0","256","108","36","88","0.8","0.03","1.4","50"
"103","Oatmeal, instant, regular","1 packet","186","112","468","4","20","1","2.7","2","0.4","0","21","4.0","241","112","45","132","0.6","0.04","1.5",
"104","Oatmeal, large fl akes/quick","175mL","173","99","412","4","17","0","2.6","2","0.3","0","13","1.0","1","98",,"111","0.2","0.04","0.9","8"
"105","Red River, Robin Hood TM","175mL","180","115","482","4","24",,"4.0","1","0.1","0","15","1.3","27",,"18","63","0.1","0.02","1.4","19"
"107","All Bran Buds with psyllium, Kellogg’sTM","75mL","27","70","292","2","22","7","11.3","1",,"0","17","3.5","181","242","74","242","0.5","0.09","2.5","38"
"108","All Bran, Kellogg’sTM","125mL","35","92","384","4","27","6","11.8","1",,"0","30","4.7","305","408","130","350","0.7","0.07","6.0","50"
"109","Almond Raisin Muslix, Kellogg’sTM","175mL","44","173","722","4","34","13","3.0","3",,"0","24","5.9","140","191","30","86","0.9","0.07","2.1",
